id,date,text,source
2568,04.03.2025,"Решил оформить дебетовую карту Газпромбанка, сейчас идет интересная и выгодная акция 35% кешбека. Карту доставил представитель Газпромбанка Ж. Владимир Н-вич ( id 10**62 ) очень профессионально проконсультировал по всем вопросам оформления карт, пояснил все сложные вопрос банковского обслуживания, очень быстро и качественно оформил документы. Благодарю Газпромбанк за профессионализм и очень качественное обслуживание своих клиентов.",Banki.ru
2569,04.03.2025,"Хочу выразить благодарность представителю банка Виктору за лояльный подход : сотрудник банка по моей просьбе перенёс время , предварительно оговоренной встречи и подъехал по удобному мне адресу в Краснокамске вместо адреса доставки, вместо Большевистской 54 на Пушкина 17а. 
На встрече помог активировать карту о отключить ненужные мне услуги. Подробно рассказал мне про действующие ставки по вкладам и накопительным счетам, что меня интересовало. Сама встреча прошла быстро, минут за 10. Сам банк рекомендую, приложение удобное, все понятно работает.",Banki.ru
2570,04.03.2025,"Сегодня, 4 марта, курьер Газпромбанка Александр привез дебетовую карту моей свекрови. Впервые вижу такого грамотного курьера. Мы с мужем участвовали в акции ""35 % на все самое важное"", а теперь и свекровь, глядя на наш кэшбэк захотела. 
Но условия изменились, и курьер подробно рассказал, что именно стало по-другому и дал много ценных советов, например он отметил, что 35% за оплату ЖКУ можно получить только, если оплачивать в приложении по куар-коду или через Газпром pay, а также рассказал о выгоде пакета Привилегии. 
Ранее свекровь оплачивала ЖКУ  на КВЦ, а значит могла остаться без кэшбэка. Кстати, представитель банка приехал вовремя, что тоже немаловажно. Побольше бы таких грамотных и пунктуальных!",Banki.ru
2571,05.03.2025,"Хочу выразить огромную благодарность представителю вашего банка, Г-ну Ашоту. Я планировала встречу для оформления новой карты, но в последний момент возникла необходимость изменить место встречи, т.к. сама не из города и постоянно перемещалась по городу по делам. Я обратилась к Ашоту с просьбой, и он без проблем согласился.
Мы встретились в более удобном для меня месте , что было очень приятно. Ашот оперативно провел оформление карты, весь процесс занял всего около 10 минут! Ашот качественно проконсультировал по ставкам накопительных счетов и предупредил , что ключевая ставка ЦБ осталась неизменной и банки могут снижать ставки по вкладам и накопительным, соответственно я поняла что нельзя упускать возможность открытия накопительного счета в 24%
Я осталась довольна качеством обслуживания и тем, как быстро и удобно прошло оформление. Спасибо Ашоту за её терпение и отзывчивость! Буду рекомендовать Газпромбанкбанк знакомым.",Banki.ru
2572,05.03.2025,"Здравствуйте, заказывал на сегодня дебетовую карту газбромбанка для открытия накопительного счета или вклада. Хочу поделиться своим положительным опытом общения с представителем банка, Ашотом Севаковичем. Мне нужна была помощь в открытии накопительного счета, и я не знал, с чего начать, нужно вообще для этого идти в банк или нет.
Ашот очень корректно все объяснил мне, оказывается никуда ходить не надо , можно все сделать через приложение. Он объяснил мне все преимущества накопительного счета, провёл подробную консультацию и ответил на все мои вопросы. Наиболее выгодным для меня оказался накопительный счет с приветственной надбавкой целых 14%, итого 24% , это больше чем у конкурентов.
Процесс оформления прошёл быстро и без лишних задержек. Ашот помог мне заполнить все необходимые документы и открыть счет.
Не ожидал , что газпромбанк настолько ориентирован на клиента , это определенно лучший банк с которым я сталкивался, буду рекомендовать всем !",Banki.ru
2573,05.03.2025,"Здравствуйте! 3.03.25г. днем заказала дебетовую карту в газпромбанке, быстро оформили заявку и до обеда 5.03.25г.уже привезли домой, очень удобно.
При получении карты, сотрудник банка С-ов А. А. доступно объяснил об акциях, настроил личный кабинет и активировал карту, мне не пришлось идти в банкомат чтоб её активировать.
В приложении в чате задала интересующий меня вопрос, бот моментально дал нужную информацию.
В приложении всё понятно, вопросов не возникло. Спасибо! Все легко и быстро.",Banki.ru
2574,06.03.2025,"Здравствуйте! Хочу поблагодарить представителя банка Владислава за быстрое оформление дебетовой карты и консультацию по ней.
С представителем банка созвонились утром и обсудили с ним место и время встречи. Я сказал, что могу подъехать в офис в г. Владимире на Большую нижегородскую 111 к пол 11 и представитель сказал, что может подождать.
Уже в офисе мы начали оформление бумаг. Помогли зайти в личный кабинет и сказали как активировать карточку. Также спрашивал по поводу кэшбека и обслуживания карты, получал ответы.
Встреча в итоге прошла за 10 минут. Быстро, четко и грамотно.
Также хочу выразить банку своё уважение за частоту в офисе и за маленькую очередь в нем)
Мне всё очень понравилось, буду пользоваться вашей картой!",Banki.ru
2575,06.03.2025,"Для проведения платежей на отдыхе заграницей, решил открыть две карты рублевую и с юанем, менеджер объяснил, что за это спишутся две суммы по 5000 рублей, но в рамках акции их легко вернуть достаточно сколько то тратить в месяц или продержать три месяца 50000 рублей или эквивалент, что я и выполнил. 
В дальнейшем сотрудник банка в чате подтвердил, что возврат будет по обоим картам, но в конце месяца следующим за месяцом окончания акции. В итоге на счет мне вернули только 5000 рублей на рублевую карту, якобы, по карте с юанем другие условия и предложили мне не печалиться в ответе на мою претензию. 
А дальше самое интересное:  даже, если бы сотрудник банка удосужился самостоятельно изучить правила акции и рассказать их мне, оплачивать юанями заграницей я не смог уже через месяц ввиду санкций, т.е мне предлагалось для выполнения условий акции вернутся в Россию и оплачивать юанями в России, это разве не кабальная сделка. Как банк себе это представляет? Как можно выполнить условия акции, если платежи картой не принимаются???",Banki.ru
2576,07.03.2025,"Заказал карту Газпромбанка по ссылке друга, позвонил курьер назначил встречу. Курьер Н-кий О.А вежливый, по телефону сразу договорился о времени
В указанное время 7.03.2025, я был в больнице с утра и не мог, на что он вежливо сказал ничего страшного, я могу подъехать когда вам удобно,приехал заранее, встреча была назначена в 14:00, в 13:55 уже был у меня, за пол часа до приезда так же позвонил, уточнил время, я ждал его дома, зашел высокий молодой человек, прошли в комнату. Он попросил паспорт, сверил данные. Потом начал рассказывать про условия карты, я пока читал документы и ознакамливался. 
У меня возник вопрос про согласие на опросы. Зачем это вообще, на что курьер Олег успокоил меня и сказал, что в течении пару дней мне прийдет отзыв чтобы я его оценил его работу. Я сразу понял вопросов нет, поставил согласие. Я не против оценивать хорошую работу сотрудников, если она того стоит. Олег грамотно и подробно рассказал про карту Газпромбанка мир. Помог активировать карту и я в этот же день пошел делать покупки. 
Только я не мог установить приложение, Олег со своими знаниями быстро и четко помог с приложением. Шустрый у вас курьер, все бы были такими. Приложение супер, тут можно сразу найти нужную информацию по карте, открыть новые продукты
Также Олег помог подключить акцию 35% на самое важное, но там нужны остатки. Я сначала был зол, потому что у меня такие остатки лежат на вкладе. Олег же посчитал выгоду от бонусов и выгоду от вклада сравнил. И на примере я понял что кешбек выгоднее. Вообщем таких сотрудников надо поощерять. 
Я всегда боюсь идти в банк, чтобы на меня не навешали лишних услуг, но тут я понял, что Олегу важно что я я получил выгоду в первую очередь. Он думает сначала о клиенте !!! Газпромбанк ваши сотрудники лучшие! Я не знаю как еще можно его отблагодарить",Banki.ru
2577,07.03.2025,"Здравствуйте!
Хочу поблагодарить работника  газпромбанка Камчатки за грамотную и оперативную помощь в возникших вопросах.
Представитель Н-ский О.А 7 марта 2025 доставил мне карту в 17:10,  заранее позвонил, согласовал время, легко идет на уступки по времени,я оформил заявку на  дебетовую карту с кешбеком 35% на все. В этот же день мне позвонили для подтверждения встречи и чтобы я указал примерное время, когда буду дома. Также я попросил, чтобы мне карту привезли вечером,так как днем я на работе.
7 марта утром мне позвонил курьер Олег, я еще раз отметил время получения, курьер сказал, что потребуется паспорт и телефон.
7 марта в 15:00 мне повторно позвонил курьер уточнил время.
В 17:10 Олег привез мне карту и мы заполнили документы. Курьер начал рассказывать про бесплатную карту, а также про акцию 35. А также дал листовку с категориями акции. Карта мне понравилась, такая яркая и еще с плюшками. Также Олег сказал, что я могу зарабатывать на этой карте, если мои близкие закажут карту Газпромбанка.  Честно говоря, я впервые узнал что такое есть и сразу скинул приглашение своей сестре. Сестра акцию  тоже заменила.
Еще оказалось, что есть дополнительный кешбек без акции, я был в шоке 😨
Олег все разложил по полочкам в моей голове, побольше бы таких людей в банках.
Выбрал кешбек 2% на все, буду теперь пользоваться только этой картой.
Мы активировали карту. Сама встреча прошла минут 15, я думал час сидеть будем точно.
После активации Олег мне рассказал про выгодные вклады в банке и даже сим-карте. Я и подумать не мог, что в банке теперь есть и симки. Вклад я пока открыть не мог, так как нет средств. На что Олег сказал, что есть накопительный счет со ставкой 24% . Я сказал, что открою его позже после зарплаты, сейчас очень туго с деньгами. Но меня заинтересовали симкарты, Олег провел подробную консультацию по тарифам, по минутам, интернету. Я плачу по МТС 900 руб в месяц, а тут он мне предлагает 300 в месяц!!! Я мало пользуюсь интернетом, потому что у меня вай фай, а минуты быстро уходят. Недолго думая, я согласился оформить сим-карту за 300 рублей и попробовать ее на себе. Газпромбанк лучший. Все услуги доступным и понятным языком. Курьер быстро помог все настроить, все несколько раз объяснил, чтобы я не запутался. Честно заказывая карту я не ожидал такой приятной встречи, ведь я заказал и пользуюсь другими банками и там обычно просто вручили карту и уехали, а дальше сам как хочешь, очень печально. А тут и консультация и карта и кешбек и заработать на друзьях можно и еще сим-карта. Я поражен. Хочу выразить огромную благодарность Газпромбанку сотруднику Олегу . Теперь всех своих близких приведу по ссылке",Banki.ru
